Sex,Fatal
M,Y
M,Y
M,N
F,N
F,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
F,N
F,N
M,N
M,N
M,N
F,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,Y
M,N
F,N
M,N
F,N
-,Y
-,N
-,Y
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,Y
M,N
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
-,Y
M,N
M,N
M,N
M,N
-,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
F,N
M,Y
F,N
M,N
M,Y
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
-,N
F,N
M,N
F,N
-,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,Y
F,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,Y
-,Y
-,N
F,Y
M,N
M,N
F,N
-,N
M,N
M,N
M,N
M,Y
-,N
M,N
M,N
F,Y
M,N
M,Y
M,N
F,N
M,N
M,Y
M,N
-,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,Y
-,N
M,N
F,N
M,N
M,N
M,N
M,Y
M,N
M,N
-,Y
M,N
M,Y
M,N
M,N
M,N
M,N
F,N
M,N
M,Y
-,Y
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
F,N
F,N
F,N
F,N
-,Y
M,Y
M,N
M,N
-,N
M,N
M,N
M,N
M,N
M,Y
-,Y
-,Y
M,N
M,Y
M,N
M,N
M,N
M,N
F,N
M,N
M,Y
M,N
-,N
-,N
M,-
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
F,N
F,N
M,N
M,Y
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
F,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
F,N
M,Y
M,N
M,N
M,N
F,Y
M,N
M,N
M,N
F,N
-,N
M,N
M,N
M,N
M,N
-,N
F,N
-,Y
M,N
M,N
M,N
F,N
M,N
M,N
F,N
M,Y
M,N
M,N
M,N
M,N
M,Y
F,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
F,Y
M,N
M,N
M,Y
-,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,Y
-,Y
M,N
M,Y
M,N
F,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
-,N
F,N
M,Y
M,N
-,N
M,N
M,N
M,N
M,N
M,Y
M,Y
F,N
M,N
M,Y
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
-,N
M,N
F,N
M,N
M,-
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,-
M,N
F,N
M,N
M,Y
M,Y
-,N
M,-
